,movieNm,movieCd,movieInfo,moviePoster,openDt
0,"1991, 봄",153297,"['1987년 승리의 함성이 사그라진 1991년의 봄.', ' 국가의 불의에 저항하던 11명의 청춘']",https://movie-phinf.pstatic.net/20181008_286/1538989668680KEozY_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
1,극장판 진격의 거인 2기: 각성의 포효,172031,"['거대 장벽 속에서 발견된 거인의 존재 이후,', ' 마침내 하나씩 밝혀지는 충격적인 진실!', ' 그']",https://movie-phinf.pstatic.net/20181012_248/15393291265303YsKB_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
2,나츠메 우인장: 세상과 연을 맺다,172194,['할머니에게 물려받은 [우인장] 덕분에 인간과 요괴들 사이에서 바쁜 나날을 보내고 있는 나츠'],https://movie-phinf.pstatic.net/20181004_52/1538638118841yV74b_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
3,바울,173692,"['그리스도가 부활한 지 약 30년 후인 AD 67년,', ' 로마제국의 황제 ‘네로’는 자신의 광']",https://movie-phinf.pstatic.net/20181126_296/1543195305541TXc6u_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
4,벽 속에 숨은 마법시계,164155,['부모님을 잃고 혼자가 된 ‘루이스’는 유일한 혈육인 삼촌 ‘조나단’(잭 블랙)을 찾아가고 '],https://movie-phinf.pstatic.net/20181001_122/153836420654806YHX_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
5,보헤미안 랩소디,156464,['공항에서 수하물 노동자로 일하며 음악의 꿈을 키우던 이민자 출신의 아웃사이더 ‘파록버사라’'],https://movie-phinf.pstatic.net/20181213_264/1544692854634ss65r_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
6,완벽한 타인,167638,"['우리 게임 한 번 해볼까? 다들 핸드폰 올려봐', ' 저녁 먹는 동안 오는 모든 걸 공유하는 거']",https://movie-phinf.pstatic.net/20181106_289/1541478936071tmadh_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
7,폴란드로 간 아이들,178434,"['1951년, 한국전쟁 고아 1,500명이 비밀리에 폴란드로 보내졌다.', ' 폴란드 선생님들은 ']",https://movie-phinf.pstatic.net/20181004_63/1538615669479nezAh_JPEG/movie_image.jpg?type=m203_290_2,2018 1031
8,도어락,171755,"['오피스텔에 혼자 살고 있는 평범한 직장인 경민(공효진).', ' 퇴근 후 집에 돌아온 경민은 원']",https://movie-phinf.pstatic.net/20181109_210/1541739608888DcEEo_JPEG/movie_image.jpg?type=m203_290_2,2018 1205
9,런닝맨 : 풀룰루의 역습,180384,"['멸망 위기의 세상을 구하고 영웅이 된 런닝맨들.', ' ', ' 어느 날, 풀룰루족들로 가득 찬 경기']",https://movie-phinf.pstatic.net/20181205_98/1543990964473PgUYG_JPEG/movie_image.jpg?type=m203_290_2,2018 1205
