,movieNm,audiCnt,director
0,"좋은 놈, 나쁜 놈, 이상한 놈",6684933,나홍진
1,달콤한 인생,71,필리다 로이드
2,라스트 스탠드,66790,강형철
3,밀정,7500420,존 파브로
4,추격자,5046096,ㅈ
5,완벽한 도미요리,25,임순례
6,황해,1497242,김유진
7,맘마미아!,4552475,티무르 베크맘베토브
8,철의 여인,144368,전윤수
9,과속스캔들,4361509,이준익
10,써니,7362657,더그 라이만
11,써니 감독판,90562,이상기
12,타짜-신의 손,4015361,윤인호
13,강철중: 공공의 적 1-1,4313101,스콧 데릭슨
14,이끼,3350303,캐서린 하드윅
15,공공의 적,137,"스티브 히크너,사이몬 J.스미스"
16,행복은 성적순이 아니잖아요,6,롭 민코프
17,투캅스,3,민규동
18,마누라 죽이기,1,박현진
19,투캅스 2,1,마이클 패트릭 킹
20,아이언맨,4290816,존 추
21,아이언맨 2,4425003,김정권
22,카우보이 & 에이리언,256346,바즈 루어만
23,정글북,2537438,김태균
24,인디아나 존스 4 : 크리스탈 해골의 왕국,4111753,페이튼 리드
25,이티,7779,"앤디 워쇼스키,래리 워쇼스키"
26,워 호스,102195,정지우
27,죠스,86,류장하
28,미지와의 조우,76,윤종빈
29,1941,41,팀 버튼
30,링컨,137505,마크 레빈
31,쥬라기 공원,43187,톰 바우건
32,캐치 미 이프 유 캔,9,저스틴 채드윅
33,라이언 일병 구하기,0,마크 S. 워터스
34,스파이 브릿지,264872,페르난도 메이렐레스
35,마이 리틀 자이언트,125800,크리스 웨이츠
36,우주전쟁,183,최호
37,미이라 3:황제의 무덤,4090885,빌리 와일더
38,인셉션,5827444,맷 리브스
39,다크 나이트 라이즈,6396528,로저 도널드슨
40,인터스텔라,10105247,정윤철
41,덩케르크,2788732,이경미
42,우리 생애 최고의 순간,4018059,유하
43,우중산책,14,정정화
44,와이키키 브라더스,61,김진영
45,세 친구,14,손태겸
46,남쪽으로 튀어,832894,이윤기
47,신기전,3728430,진가신
48,약속,1,나카타 히데오
49,원티드,2858720,리차드 라그라브네스
50,링컨: 뱀파이어 헌터,344876,윤태윤
51,벤허,1400301,기타무라 류헤이
52,핸콕,2722574,"콜린 스트라우스,그레그 스트라우스"
53,배틀쉽,2241687,여균동
54,딥워터 호라이즌,101303,롭 라이너
55,프롬 파리 위드 러브,369394,데이비드 에이어
56,더 건맨,107444,커스틴 쉐리단
57,미인도,2341521,신한솔
58,식객,1178,김영준
59,미안해 사랑해 고마워,51207,사울 딥
60,아이 엠 넘버 포,654386,김상만
61,스탠딩 업,1,브라이언 버티노
62,트리플 엑스 리턴즈,475309,크리스 카터
63,007 퀀텀 오브 솔러스,2205159,앤 플레쳐
64,연을 쫓는 아이,20244,제임스 마쉬
65,월드 워 Z,5237525,윌리엄 와일러
66,황산벌,63,에드워드 즈윅
67,소원,2711083,페드로 알모도바르
68,키드캅,26,안선경
69,동주,1172641,조정래
70,라디오 스타,72,이즈츠 카즈유키
71,박열,2359206,이충렬
72,표적,2841828,올리비에 메가턴
73,계춘할망,482516,윤제균
74,무방비도시,1600856,김용화
75,적벽대전:거대한 전쟁의 시작,1570703,마이클 베이
76,적벽대전 2 : 최후의 결전,2694436,제임스 카메론
77,종횡사해,127,오우삼
78,첩혈가두,14,최동훈
79,소림문,1,박찬욱
80,영화는 영화다,1311071,박진표
81,사랑은 없다,284,정기훈
82,지구가 멈추는 날,1307068,박대민
83,살인소설,54239,신정원
84,인보카머스,69786,데이빗 핀처
85,트와일라잇,1292332,김용균
86,레드 라이딩 후드,362572,이호재
87,위대한 탄생,680,개빈 후드
88,꿀벌대소동,1236167,박건용
89,플라이페이퍼,40,박희곤
90,천재 강아지 미스터 피바디,385552,가이 리치
91,간신,1110246,대니 보일
92,"10,000 BC",1134364,박신우
93,화이트 하우스 다운,569500,닐 블롬캠프
94,인디펜던스 데이 : 리써전스,1500830,F. 게리 그레이
95,좋아해줘,848148,조나단 모스토우
96,섹스 앤 더 시티,1067550,로베르트 슈벤트케
97,스텝 업 3D,671845,이해준
98,지.아이.조 2,1855917,원태연
99,나우 유 씨 미 2,3100113,저스틴 린
100,초한지 - 천하대전,94652,이종용
101,금의위 : 14 검의 비밀,8589,케빈 탄차로엔
102,흑협,5600,알란 파커
103,도묘필기: 미이라의 부활,63,김한민
104,인크레더블 헐크,991417,정용기
