,movieNm_x,director,movieNm_y,audiCnt
0,최종병기 활,김한민,명량,17613682
1,부당거래,류승완,베테랑,13414009
2,전우치,최동훈,도둑들,12983178
3,챔프,이환경,7번방의 선물,12811206
4,"광해, 왕이 된 남자",추창민,"광해, 왕이 된 남자",12319390
5,영화는 영화다,장훈,택시운전사,12186327
6,부산행,연상호,부산행,11565479
7,해운대,윤제균,해운대,11324433
8,어벤져스,조스 웨던,어벤져스: 에이지 오브 울트론,10494499
9,다크 나이트,크리스토퍼 놀란,인터스텔라,10105247
10,검사외전,이일형,검사외전,9707581
11,설국열차,봉준호,설국열차,9349993
12,관상,한재림,관상,9134581
13,아이언맨 3,쉐인 블랙,아이언맨 3,9001331
14,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",캡틴 아메리카: 시빌 워,8677249
15,댄싱퀸,이석훈,해적: 바다로 간 산적,8666046
16,남한산성,황동혁,수상한 그녀,8657982
17,신과함께-죄와 벌,김용화,신과함께-죄와 벌,8539495
18,아바타,제임스 카메론,아바타,8151952
19,공조,김성훈,공조,7817618
20,트랜스포머: 패자의 역습,마이클 베이,트랜스포머 3,7784743
21,밀정,김지운,밀정,7500420
22,써니,강형철,써니,7362657
23,스파이더맨: 홈 커밍,존 와츠,스파이더맨: 홈 커밍,7258678
24,파괴된 사나이,우민호,내부자들,7055332
25,포화속으로,이재한,인천상륙작전,7049643
26,은밀하게 위대하게,장철수,은밀하게 위대하게,6959083
27,곡성,나홍진,곡성,6879908
28,늑대소년,조성희,늑대소년,6654390
29,박열,이준익,사도,6246849
30,우는 남자,이정범,아저씨,6178248
31,킹스맨 : 시크릿 에이전트,매튜 본,킹스맨 : 시크릿 에이전트,6129681
32,잭 리처,크리스토퍼 맥쿼리,미션 임파서블: 로그네이션,6126488
33,연평해전,김학순,연평해전,6043784
34,변호인,양우석,변호인,5687571
35,청년경찰,김주환,청년경찰,5653270
36,장산범,허정,숨바꼭질,5604103
37,호우시절,허진호,덕혜옹주,5599229
38,더 테러 라이브,김병우,더 테러 라이브,5584139
39,감시자들,"조의석,김병서",감시자들,5508017
40,닥터 스트레인지,스콧 데릭슨,닥터 스트레인지,5446239
41,검은 사제들,장재현,검은 사제들,5442128
42,인디펜던스 데이 : 리써전스,롤랜드 에머리히,2012,5390201
43,완득이,이한,완득이,5309928
44,007 퀀텀 오브 솔러스,마크 포스터,월드 워 Z,5237525
45,브레이킹 던 part2,빌 콘돈,미녀와 야수,5138328
46,미션임파서블:고스트프로토콜,브래드 버드,미션임파서블:고스트프로토콜,4975161
47,프로메테우스,리들리 스콧,마션,4880800
48,토르: 라그나로크,타이카 와이티티,토르: 라그나로크,4853778
49,어메이징 스파이더맨 2,마크 웹,어메이징 스파이더맨,4853123
50,조선명탐정 : 사라진 놉의 딸,김석윤,조선명탐정 : 각시투구꽃의 비밀,4786259
51,비스티 보이즈,윤종빈,군도: 민란의 시대,4774931
52,점퍼,더그 라이만,엣지 오브 투모로우,4699307
53,대호,박훈정,신세계,4682492
54,해리 포터와 혼혈 왕자,데이빗 예이츠,신비한 동물사전,4662534
55,간신,민규동,내 아내의 모든 것,4598821
56,맘마미아!,필리다 로이드,맘마미아!,4552475
57,연가시,박정우,연가시,4515833
58,터미네이터 : 미래전쟁의 시작,맥지,터미네이터 : 미래전쟁의 시작,4499776
59,카우보이 & 에이리언,존 파브로,아이언맨 2,4425003
60,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,엑스맨: 데이즈 오브 퓨처 패스트,4313871
61,이끼,강우석,강철중: 공공의 적 1-1,4313101
62,박쥐,박찬욱,아가씨,4287839
63,마이 리틀 자이언트,스티븐 스필버그,인디아나 존스 4 : 크리스탈 해골의 왕국,4111753
64,불신지옥,이용주,건축학개론,4111068
65,미이라 3:황제의 무덤,롭 코헨,미이라 3:황제의 무덤,4090885
66,차형사,신태라,7급 공무원,4039891
67,제보자,임순례,우리 생애 최고의 순간,4018059
68,혹성탈출: 종의 전쟁,맷 리브스,혹성탈출: 반격의 서막,4002560
69,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",캡틴 아메리카: 윈터 솔져,3963251
