,rankAtt_1,audiCntAtt_1,showCntAtt_1,movieNm
0,1,50074,152,기다리다 미쳐
1,-3,22270,159,꿀벌대소동
3,0,32466,231,우리 생애 최고의 순간
4,-1,35003,161,무방비도시
5,-4,24060,290,미스트
6,-4,13612,825,마법에 걸린 사랑
7,-2,28430,113,스위니 토드 : 어느 잔혹한 이발사 이야기
8,-1,21537,187,뜨거운 것이 좋아
16,-6,47554,1118,클로버필드
17,0,-26118,-132,더 게임
19,-2,5339,728,슈퍼맨이었던 사나이
21,-1,-43,495,명장
23,0,52043,132,6년째 연애중
24,2,8405,342,마지막 선물
25,8,-51855,-1919,점퍼
26,1,11367,70,추격자
27,1,3822,355,스파이더위크가의 비밀
28,-5,38426,730,데스노트 L: 새로운 시작
30,-1,41387,286,바보
32,-3,13113,607,27번의 결혼리허설
33,-3,13756,645,마이 뉴 파트너
34,4,-15329,-1447,스텝업 2 : 더 스트리트
36,-3,47887,350,"10,000 BC"
37,2,504,68,천일의 스캔들
38,6,-20943,-1547,삼국지:용의 부활
39,6,-21289,-1430,GP 506
40,2,47142,61,테이큰
41,4,14607,17,버킷 리스트:죽기전에 꼭 하고싶은것들
44,-2,19917,261,스트리트 킹
45,-3,24128,748,포비든 킹덤: 전설의 마스터를 찾아서
47,0,-8108,-1312,비스티 보이즈
49,0,64855,83,아이언맨
52,-1,12369,277,가루지기
53,6,-17652,-1336,스피드 레이서
54,9,-98310,-3004,인디아나 존스 4 : 크리스탈 해골의 왕국
55,1,-2411,-380,걸스카우트
56,6,-34167,-1054,섹스 앤 더 시티
58,-2,20632,437,라스베가스에서만 생길 수 있는 일
59,5,-20186,-1026,크로싱
60,-5,28803,979,해프닝
61,0,-67684,-1814,강철중: 공공의 적 1-1
63,8,-82340,-2110,원티드
65,0,73388,-45,핸콕
66,0,-3483,88,노크:낯선 자들의 방문
67,7,-33480,-1408,적벽대전:거대한 전쟁의 시작
69,5,-59752,-1772,님은 먼 곳에
71,4,-55235,-1524,눈에는 눈 이에는 이
72,-1,7685,603,님스 아일랜드
73,-1,172708,792,미이라 3:황제의 무덤
74,3,-52700,-1016,다크 나이트
78,7,-54588,-2083,신기전
81,-1,9836,257,엑스파일:나는 믿고싶다
82,-4,14411,209,미드나잇 미트 트레인
85,0,10771,502,CJ7:장강7호
86,6,-51154,-2209,맘마미아!
94,-2,1281,-917,울학교 이티
95,0,-17467,-637,영화는 영화다
97,7,-23587,-1475,모던보이
100,5,-21665,-1350,고고 70
104,-4,20710,516,트럭
106,-4,23486,780,멋진 하루
111,0,26797,11,이글 아이
112,-2,35864,535,미쓰 홍당무
117,-4,12033,528,공작부인:세기의 스캔들
119,0,35544,121,아내가 결혼했다
120,-2,17378,90,바디 오브 라이즈
121,-1,12687,158,뱅크 잡
123,0,34788,-100,007 퀀텀 오브 솔러스
125,5,-21537,-1521,서양 골동 양과자점 앤티크
128,1,33070,184,미인도
130,-1,14476,-39,눈먼자들의 도시
132,-2,22258,307,맥스 페인
133,7,-66717,-1930,과속스캔들
139,-3,53236,436,순정만화
140,-1,13540,832,1724 기방난동사건
142,4,-27068,-1300,트와일라잇
146,-1,4573,676,오스트레일리아
148,1,-38738,210,예스맨
152,0,-48214,563,달콤한 거짓말
154,7,-92466,-2504,쌍화점
158,-3,21528,738,지구가 멈추는 날
162,6,-21087,-1587,트랜스포터-라스트 미션
164,-1,3019,58,디파이언스
166,5,-71559,-1846,적벽대전 2 : 최후의 결전
167,0,36790,215,작전명 발키리
168,0,26597,287,유감스러운 도시
169,-2,-216,265,체인질링
170,0,0,0,워낭소리
177,-5,32712,439,잉크하트 : 어둠의 부활
178,4,-27210,-1452,작전
179,-4,43212,441,마린보이
180,-2,20275,89,벤자민 버튼의 시간은 거꾸로 간다
183,-4,41544,614,그는 당신에게 반하지 않았다
184,-4,36261,574,핸드폰
185,-5,16443,637,문프린세스 : 문에이커의 비밀
186,-5,29620,575,인터내셔널
187,-4,46008,331,왓치맨
188,1,-6382,-824,슬픔보다 더 슬픈 이야기
189,-7,19275,702,드래곤볼 에볼루션
191,-4,10152,675,뉴욕은 언제나 사랑 중
192,-4,7656,360,13일의 금요일
193,3,-6635,-661,쇼퍼홀릭
194,6,-18094,-1365,푸시
195,2,656,67,슬럼독 밀리어네어
198,2,-3478,-858,더 리더: 책 읽어주는 남자
205,7,-33635,-1890,그림자 살인
