,movieNm,rankAtt_1,audiCntAtt_1,showCntAtt_1
0,기다리다 미쳐,1,50074,152
1,꿀벌대소동,-3,22270,159
3,우리 생애 최고의 순간,0,32466,231
4,무방비도시,-1,35003,161
5,미스트,-4,24060,290
6,마법에 걸린 사랑,-4,13612,825
7,스위니 토드 : 어느 잔혹한 이발사 이야기,-2,28430,113
8,뜨거운 것이 좋아,-1,21537,187
16,클로버필드,-6,47554,1118
17,더 게임,0,-26118,-132
19,슈퍼맨이었던 사나이,-2,5339,728
21,명장,-1,-43,495
23,6년째 연애중,0,52043,132
24,마지막 선물,2,8405,342
25,점퍼,8,-51855,-1919
26,추격자,1,11367,70
27,스파이더위크가의 비밀,1,3822,355
28,데스노트 L: 새로운 시작,-5,38426,730
30,바보,-1,41387,286
32,27번의 결혼리허설,-3,13113,607
33,마이 뉴 파트너,-3,13756,645
34,스텝업 2 : 더 스트리트,4,-15329,-1447
36,"10,000 BC",-3,47887,350
37,천일의 스캔들,2,504,68
38,삼국지:용의 부활,6,-20943,-1547
39,GP 506,6,-21289,-1430
40,테이큰,2,47142,61
41,버킷 리스트:죽기전에 꼭 하고싶은것들,4,14607,17
44,스트리트 킹,-2,19917,261
45,포비든 킹덤: 전설의 마스터를 찾아서,-3,24128,748
47,비스티 보이즈,0,-8108,-1312
49,아이언맨,0,64855,83
52,가루지기,-1,12369,277
53,스피드 레이서,6,-17652,-1336
54,인디아나 존스 4 : 크리스탈 해골의 왕국,9,-98310,-3004
55,걸스카우트,1,-2411,-380
56,섹스 앤 더 시티,6,-34167,-1054
58,라스베가스에서만 생길 수 있는 일,-2,20632,437
59,크로싱,5,-20186,-1026
60,해프닝,-5,28803,979
61,강철중: 공공의 적 1-1,0,-67684,-1814
63,원티드,8,-82340,-2110
65,핸콕,0,73388,-45
66,노크:낯선 자들의 방문,0,-3483,88
67,적벽대전:거대한 전쟁의 시작,7,-33480,-1408
69,님은 먼 곳에,5,-59752,-1772
