,actor1,actorPower,movieNm,actor_var
0,김윤석,5046096,추격자,0
1,아만다 사이프리드,4552475,맘마미아!,1
2,차태현,4361509,과속스캔들,2
3,설경구,4313101,강철중: 공공의 적 1-1,3
4,로버트 다우니 주니어,4290816,아이언맨,4
5,해리슨 포드,4111753,인디아나 존스 4 : 크리스탈 해골의 왕국,5
6,브렌든 프레이저,4090885,미이라 3:황제의 무덤,6
7,크리스찬 베일,4060490,다크 나이트,7
8,문소리,4018059,우리 생애 최고의 순간,8
9,정재영,3728430,신기전,9
10,제임스 맥어보이,2858720,원티드,10
11,윌 스미스,2722574,핸콕,11
12,리암 니슨,2359061,테이큰,12
13,김민선,2341521,미인도,13
14,샤이아 라보프,2292172,이글 아이,14
15,다니엘 크레이그,2205159,007 퀀텀 오브 솔러스,15
16,한석규,2058616,눈에는 눈 이에는 이,16
17,손예진,1799447,아내가 결혼했다,17
18,수애,1706037,님은 먼 곳에,18
19,레이첼 빌슨,1665268,점퍼,19
20,김명민,1600856,무방비도시,20
21,양조위,1570703,적벽대전:거대한 전쟁의 시작,21
22,변희봉,1479859,더 게임,22
23,소지섭,1311071,영화는 영화다,23
24,키아누 리브스,1307068,지구가 멈추는 날,24
25,크리스틴 스튜어트,1292332,트와일라잇,25
26,제리 사인펠드,1236167,꿀벌대소동,26
27,이연걸,1211882,포비든 킹덤: 전설의 마스터를 찾아서,27
28,주지훈,1181233,서양 골동 양과자점 앤티크,28
29,스티븐 스트레이트,1134364,"10,000 BC",29
30,김하늘,1112238,6년째 연애중,30
31,사라 제시카 파커,1067550,섹스 앤 더 시티,31
32,선자 손,1044659,스텝업 2 : 더 스트리트,32
33,유덕화,1025302,삼국지:용의 부활,33
34,휴 잭맨,945067,오스트레일리아,34
35,천호진,936945,GP 506,35
36,차인표,898000,크로싱,36
37,짐 캐리,818604,예스맨,37
38,정지훈,798718,스피드 레이서,38
39,이새별,762337,모던보이,39
40,유지태,731706,순정만화,40
41,하정우,719581,비스티 보이즈,41
42,조니 뎁,698306,스위니 토드 : 어느 잔혹한 이발사 이야기,42
43,제라드 버틀러,694539,님스 아일랜드,43
44,카메론 디아즈,693874,라스베가스에서만 생길 수 있는 일,44
45,나탈리 포트만,693836,천일의 스캔들,45
46,프레디 하이모어,676155,스파이더위크가의 비밀,46
47,김수로,652178,울학교 이티,47
48,줄리안 무어,646826,눈먼자들의 도시,48
49,곽선영,594742,고고 70,49
50,레오나르도 디카프리오,589899,바디 오브 라이즈,50
51,이미숙,578679,뜨거운 것이 좋아,51
52,리지 캐플란,558389,클로버필드,52
53,제이슨 스타뎀,557037,뱅크 잡,53
54,홍희자,550282,슈퍼맨이었던 사나이,54
55,유해진,550195,트럭,55
56,니콜라스 케이지,543996,내셔널 트레져:비밀의 책,56
57,공효진,538943,미쓰 홍당무,57
58,로리 홀든,521299,미스트,58
59,조인성,452560,쌍화점,59
60,김선아,447313,달콤한 거짓말,60
61,장근석,435940,아기와 나,61
62,에이미 아담스,429007,마법에 걸린 사랑,62
63,손태영,419687,기다리다 미쳐,63
64,전도연,396953,멋진 하루,64
65,쿠도 유키,355139,데스노트 L: 새로운 시작,65
66,마크 웰버그,347791,해프닝,66
67,힐러리 스웽크,313867,P.S. 아이 러브 유,67
68,주성치,312576,CJ7:장강7호,68
69,임창정,299326,색즉시공 시즌2,69
70,브래들리 쿠퍼,290334,미드나잇 미트 트레인,70
71,스티븐 파스퀄,289701,에이리언 VS 프레데터2,71
72,이정재,288424,1724 기방난동사건,72
73,잭 니콜슨,279709,버킷 리스트:죽기전에 꼭 하고싶은것들,73
74,봉태규,269478,가루지기,74
75,신현준,265362,마지막 선물,75
76,안성기,260734,마이 뉴 파트너,76
77,밀라 쿠니스,258067,맥스 페인,77
78,키이라 나이틀리,250611,공작부인:세기의 스캔들,78
79,나문희,248813,걸스카우트,79
80,스캇 스피드맨,248807,노크:낯선 자들의 방문,80
81,데이비드 듀코브니,244023,엑스파일:나는 믿고싶다,81
