,movieNm,actor1,audiCntAmt
0,명량,류승룡,17615152
1,명량,조진웅,17615152
2,명량,최민식,17615152
3,국제시장,황정민,14262498
4,국제시장,김윤진,14262498
5,국제시장,오달수,14262498
6,베테랑,유아인,13414200
7,베테랑,유해진,13414200
8,아바타,조 샐다나,13302637
9,아바타,시고니 위버,13302637
10,아바타,샘 워싱턴,13302637
11,도둑들,이정재,12983841
12,도둑들,김윤석,12983841
13,도둑들,김혜수,12983841
14,7번방의 선물,갈소원,12811435
15,7번방의 선물,박신혜,12811435
16,암살,전지현,12706483
17,암살,하정우,12706483
18,"광해, 왕이 된 남자",한효주,12323595
19,"광해, 왕이 된 남자",이병헌,12323595
20,택시운전사,송강호,12186327
21,택시운전사,토마스 크레취만,12186327
22,택시운전사,이수민,12186327
23,부산행,정유미,11566862
24,부산행,공유,11566862
25,부산행,김정희,11566862
26,변호인,김영애,11374879
27,해운대,하지원,11324545
28,해운대,박중훈,11324545
29,해운대,설경구,11324545
30,괴물,윌포드 브림리,10917221
31,괴물,,10917221
32,괴물,커트 러셀,10917221
33,괴물,김한희,10917221
34,괴물,박해일,10917221
35,괴물,변희봉,10917221
36,괴물,서이숙,10917221
37,괴물,이시온,10917221
38,괴물,T. K. 카터,10917221
39,왕의 남자,이준기,10513715
40,왕의 남자,감우성,10513715
41,어벤져스: 에이지 오브 울트론,로버트 다우니 주니어,10494499
42,어벤져스: 에이지 오브 울트론,크리스 헴스워스,10494499
43,어벤져스: 에이지 오브 울트론,마크 러팔로,10494499
44,인터스텔라,매튜 매커너히,10309432
45,인터스텔라,앤 해서웨이,10309432
46,인터스텔라,마이클 케인,10309432
47,겨울왕국,조나단 그로프,10296101
48,겨울왕국,이디나 멘젤,10296101
49,겨울왕국,크리스틴 벨,10296101
50,검사외전,이성민,9707581
51,검사외전,강동원,9707581
52,설국열차,크리스 에반스,9350338
53,설국열차,에드 해리스,9350338
54,관상,백윤식,9135806
55,아이언맨 3,기네스 팰트로우,9001331
56,아이언맨 3,벤 킹슬리,9001331
57,캡틴 아메리카: 시빌 워,스칼렛 요한슨,8677249
58,해적: 바다로 간 산적,손예진,8666208
59,해적: 바다로 간 산적,김남길,8666208
60,수상한 그녀,박인환,8659725
61,수상한 그녀,심은경,8659725
62,수상한 그녀,나문희,8659725
63,신과함께-죄와 벌,차태현,8539495
64,신과함께-죄와 벌,주지훈,8539495
65,과속스캔들,왕석현,8223342
66,과속스캔들,박보영,8223342
67,국가대표,성동일,8035181
68,국가대표,김지석,8035181
69,디워,브룩스 아만다,7855474
70,디워,베어 제이슨,7855474
71,공조,현빈,7817618
72,공조,김주혁,7817618
73,트랜스포머 3,로지 헌팅턴-휘틀리,7785189
74,트랜스포머 3,조쉬 더하멜,7785189
75,트랜스포머 3,존 말코비치,7785189
76,히말라야,조성하,7759761
77,히말라야,정우,7759761
78,미션임파서블:고스트프로토콜,톰 크루즈,7508976
79,미션임파서블:고스트프로토콜,제레미 레너,7508976
80,밀정,한지민,7500457
81,최종병기 활,김무열,7470633
82,트랜스포머,샤이아 라보프,7402732
83,트랜스포머,메간 폭스,7402732
84,써니,유호정,7363139
85,써니,강소라,7363139
86,스파이더맨: 홈 커밍,제이콥 배덜런,7258678
87,스파이더맨: 홈 커밍,톰 홀랜드,7258678
88,베를린,류승범,7166513
89,베를린,한석규,7166513
90,마스터,필립 세이모어 호프만,7150586
91,마스터,호와킨 피닉스,7150586
92,마스터,에이미 아담스,7150586
93,마스터,김우빈,7150586
94,터널,배두나,7120780
95,내부자들,조승우,7072507
96,인천상륙작전,김정철,7050475
97,인천상륙작전,이범수,7050475
98,럭키,이준,6975571
99,럭키,조윤희,6975571
100,은밀하게 위대하게,김수현,6959083
101,은밀하게 위대하게,박기웅,6959083
102,은밀하게 위대하게,이현우,6959083
103,곡성,곽도원,6879989
104,곡성,쿠니무라 준,6879989
105,범죄도시,마동석,6879841
106,범죄도시,조재윤,6879841
107,범죄도시,아만다 피트,6879841
108,범죄도시,윤계상,6879841
109,범죄도시,에단 호크,6879841
110,화려한 휴가,이창민,6855433
111,화려한 휴가,안성기,6855433
112,화려한 휴가,김상경,6855433
113,"좋은 놈, 나쁜 놈, 이상한 놈",정우성,6686054
114,늑대소년,송중기,6655061
115,늑대소년,장영남,6655061
116,군함도,김규백,6592151
117,군함도,명인호,6592151
118,웰컴 투 동막골,강혜정,6436900
119,웰컴 투 동막골,정재영,6436900
120,웰컴 투 동막골,신하균,6436900
121,다크 나이트 라이즈,크리스찬 베일,6399303
122,다크 나이트 라이즈,게리 올드만,6399303
123,사도,문근영,6247651
124,아저씨,원빈,6178592
125,아저씨,김희원,6178592
126,아저씨,김새론,6178592
127,킹스맨 : 시크릿 에이전트,콜린 퍼스,6129681
128,킹스맨 : 시크릿 에이전트,태런 에저튼,6129681
129,킹스맨 : 시크릿 에이전트,사무엘 L. 잭슨,6129681
130,미션 임파서블: 로그네이션,사이먼 페그,6126488
131,전우치,임수정,6065474
132,연평해전,진구,6044956
133,연평해전,김율호,6044956
134,레미제라블,휴 잭맨,5920977
135,레미제라블,우마 서먼,5920977
136,레미제라블,러셀 크로우,5920977
137,레미제라블,제프리 러쉬,5920977
138,레미제라블,리암 니슨,5920977
139,인셉션,엘렌 페이지,5835017
140,인셉션,마리온 꼬띨라르,5835017
141,인셉션,레오나르도 디카프리오,5835017
142,청년경찰,정다은,5653270
143,청년경찰,박서준,5653270
144,숨바꼭질,손강국,5604106
145,숨바꼭질,다코타 패닝,5604106
146,숨바꼭질,손현주,5604106
147,숨바꼭질,전미선,5604106
148,숨바꼭질,문정희,5604106
149,숨바꼭질,로버트 드니로,5604106
150,숨바꼭질,유상재,5604106
151,덕혜옹주,윤제문,5599665
152,더 테러 라이브,전혜진,5584139
153,더 테러 라이브,이경영,5584139
154,쥬라기 월드,크리스 프랫,5546792
155,쥬라기 월드,주디 그리어,5546792
156,쥬라기 월드,브라이스 달라스 하워드,5546792
157,닥터 스트레인지,레이첼 맥아담스,5446379
158,닥터 스트레인지,틸다 스윈튼,5446379
159,닥터 스트레인지,베네딕트 컴버배치,5446379
160,검은 사제들,박소담,5442915
161,의형제,전국환,5416829
162,2012,올리버 플랫,5397597
163,2012,존 쿠삭,5397597
164,더 킹,폴 다노,5317693
165,더 킹,가엘 가르시아 베르날,5317693
166,더 킹,조인성,5317693
167,더 킹,윌리엄 허트,5317693
168,더 킹,배성우,5317693
169,완득이,김효숙,5311350
170,트랜스포머: 사라진 시대,마크 월버그,5295836
171,트랜스포머: 사라진 시대,제시카 고메즈,5295836
172,트랜스포머: 사라진 시대,니콜라 펠츠,5295836
173,월드 워 Z,미레유 에노스,5237525
174,월드 워 Z,브래드 피트,5237525
175,월드 워 Z,매튜 폭스,5237525
176,미녀와 야수,레아 세이두,5138328
177,미녀와 야수,페이지 오하라,5138328
178,미녀와 야수,밀라 파렐리,5138328
179,미녀와 야수,루크 에반스,5138328
180,미녀와 야수,뱅상 카셀,5138328
181,미녀와 야수,장 마레,5138328
182,미녀와 야수,엠마 왓슨,5138328
183,미녀와 야수,로비 벤슨,5138328
184,미녀와 야수,댄 스티븐스,5138328
185,미녀와 야수,자셋 데이,5138328
186,쿵푸팬더 2,안젤리나 졸리,5064796
187,쿵푸팬더 2,더스틴 호프만,5064796
188,쿵푸팬더 2,잭 블랙,5064796
189,인사이드 아웃,카일 맥라클란,4969735
190,인사이드 아웃,다이안 레인,4969735
191,인사이드 아웃,에이미 포엘러,4969735
192,킹스맨: 골든 서클,줄리안 무어,4945484
193,바람과 함께 사라지다,레슬리 하워드,4909950
194,바람과 함께 사라지다,클라크 게이블,4909950
195,바람과 함께 사라지다,오지호,4909950
196,바람과 함께 사라지다,민효린,4909950
197,바람과 함께 사라지다,비비안 리,4909950
198,마션,제프 다니엘스,4881865
199,마션,맷 데이먼,4881865
200,마션,제시카 차스테인,4881865
201,토르: 라그나로크,톰 히들스턴,4853778
202,토르: 라그나로크,케이트 블란쳇,4853778
203,어메이징 스파이더맨,마틴 쉰,4853273
204,어메이징 스파이더맨,앤드류 가필드,4853273
205,어메이징 스파이더맨,엠마 스톤,4853273
206,"님아, 그 강을 건너지 마오",강계열,4801873
207,"님아, 그 강을 건너지 마오",조병만,4801873
208,조선명탐정 : 각시투구꽃의 비밀,김명민,4786259
209,조선명탐정 : 각시투구꽃의 비밀,김호연,4786259
210,군도: 민란의 시대,최귀화,4775811
211,주토피아,지니퍼 굿윈,4706158
212,주토피아,제이슨 베이트먼,4706158
213,주토피아,샤키라,4706158
214,엣지 오브 투모로우,에밀리 블런트,4699307
215,엣지 오브 투모로우,빌 팩스톤,4699307
216,신비한 동물사전,콜린 파렐,4667179
217,신비한 동물사전,에디 레드메인,4667179
218,신비한 동물사전,캐서린 워터스턴,4667179
219,도가니,허재호,4662914
220,쿵푸 팬더,루시 루,4654266
221,내 아내의 모든 것,이선균,4598985
222,판도라,제임스 메이슨,4584800
223,판도라,에바 가드너,4584800
224,맘마미아!,아만다 사이프리드,4578239
225,맘마미아!,메릴 스트립,4578239
226,연가시,강지원,4515833
227,터미네이터 : 미래전쟁의 시작,문 블러드굿,4499776
228,아이언맨 2,돈 치들,4425003
229,해리포터와 죽음의 성물2,다니엘 래드클리프,4421210
230,해리포터와 죽음의 성물2,루퍼트 그린트,4421210
231,엑스맨: 데이즈 오브 퓨처 패스트,제임스 맥어보이,4313871
232,엑스맨: 데이즈 오브 퓨처 패스트,마이클 패스벤더,4313871
233,강철중: 공공의 적 1-1,강신일,4313102
234,아이언맨,테렌스 하워드,4300365
235,아이언맨,제프 브리지스,4300365
236,아가씨,김민희,4288530
237,아가씨,김태리,4288530
238,말아톤,이진영,4196859
239,말아톤,김미숙,4196859
240,다크 나이트,히스 레저,4175526
241,어메이징 스파이더맨 2,제이미 폭스,4168353
242,용의자,박희순,4131338
243,건축학개론,한가인,4113234
244,건축학개론,엄태웅,4113234
245,건축학개론,이제훈,4113234
246,인디아나 존스 4 : 크리스탈 해골의 왕국,해리슨 포드,4111753
247,미이라 3:황제의 무덤,브렌든 프레이저,4090885
248,미이라 3:황제의 무덤,마리아 벨로,4090885
249,미이라 3:황제의 무덤,이연걸,4090885
250,댄싱퀸,엄정화,4058225
251,댄싱퀸,정성화,4058225
252,7급 공무원,김하늘,4039891
253,7급 공무원,강지환,4039891
254,7급 공무원,유승목,4039891
255,우리 생애 최고의 순간,문소리,4018872
256,우리 생애 최고의 순간,김정은,4018872
257,꾼,강필선,4018035
258,꾼,유지태,4018035
259,타짜-신의 손,신세경,4015361
260,타짜-신의 손,최승현,4015361
261,강철비,김갑수,4014293
262,혹성탈출: 반격의 서막,앤디 서키스,4002560
263,혹성탈출: 반격의 서막,제이슨 클락,4002560
264,박수건달,엄지원,3897969
265,박수건달,김정태,3897969
266,박수건달,박신양,3897969
267,매드 맥스: 분노의 도로,톰 하디,3884130
268,매드 맥스: 분노의 도로,니콜라스 홀트,3884130
269,매드 맥스: 분노의 도로,샤를리즈 테론,3884130
270,조선명탐정 : 사라진 놉의 딸,이연희,3872015
271,역린,조정석,3849700
272,쌍화점,송지효,3749034
273,쌍화점,주진모,3749034
274,신기전,한은정,3728439
275,미이라,애나벨 월리스,3689325
276,미이라,소피아 부텔라,3689325
277,너의 이름은.,카미키 류노스케,3674371
278,너의 이름은.,카미시라이시 모네,3674371
279,너의 이름은.,나가사와 마사미,3674371
280,분노의 질주: 더 익스트림,드웨인 존슨,3653238
281,분노의 질주: 더 익스트림,빈 디젤,3653238
282,인턴,르네 루소,3611166
283,귀향,박상훈,3587182
284,귀향,카르멘 마우라,3587182
285,귀향,강하나,3587182
286,귀향,손숙,3587182
287,귀향,이새별,3587182
288,귀향,카타오카 레이코,3587182
289,귀향,페넬로페 크루즈,3587182
290,귀향,니시지마 히데토시,3587182
291,귀향,서미지,3587182
292,귀향,박지아,3587182
293,라라랜드,라이언 고슬링,3570395
294,라라랜드,핀 위트록,3570395
295,킹콩,애드리언 브로디,3470057
296,킹콩,페이 레이,3470057
297,킹콩,나오미 왓츠,3470057
298,킹콩,로버트 암스트롱,3470057
299,킹콩,브루스 캐벗,3470057
300,부러진 화살,박원상,3460212
301,부러진 화살,나영희,3460212
302,끝까지 간다,신정근,3450305
303,스파이,제이슨 스타뎀,3436092
304,스파이,주드 로,3436092
305,스파이,다니엘 헤니,3436092
306,스파이,멜리사 맥카시,3436092
307,비긴 어게인,애덤 리바인,3433973
308,비긴 어게인,키이라 나이틀리,3433973
309,어바웃 타임,빌 나이,3396313
310,어바웃 타임,도널 글리슨,3396313
311,맨 인 블랙 3,켄 아놀드,3379762
312,맨 인 블랙 3,윌 스미스,3379762
313,맨 인 블랙 3,토미 리 존스,3379762
314,이끼,유준상,3350311
315,포화속으로,차승원,3330326
316,포화속으로,권상우,3330326
317,슈퍼배드 3,크리스틴 위그,3324874
318,슈퍼배드 3,트레이 파커,3324874
319,슈퍼배드 3,스티브 카렐,3324874
320,데드풀,모레나 바카린,3317196
321,데드풀,라이언 레놀즈,3317196
322,데드풀,에드 스크레인,3317196
323,아이 캔 스피크,박철민,3279296
324,스타워즈: 깨어난 포스,캐리 피셔,3273879
325,스타워즈: 깨어난 포스,마크 해밀,3273879
326,분노의 질주: 더 세븐,폴 워커,3248904
327,터미네이터 제니시스,에밀리아 클라크,3240370
328,터미네이터 제니시스,아놀드 슈왈제네거,3240370
329,그래비티,조지 클루니,3227647
330,그래비티,산드라 블록,3227647
331,공공의 적 2,정준호,3134424
332,캐리비안의 해적: 낯선 조류,조니 뎁,3130046
333,캐리비안의 해적: 낯선 조류,이안 맥쉐인,3130046
334,퀵,강예원,3125069
335,퀵,고창석,3125069
336,친절한 금자씨,권예영,3120784
337,친절한 금자씨,이영애,3120784
338,감기,수애,3117859
339,감기,장혁,3117859
340,감기,박민하,3117859
341,나우 유 씨 미 2,우디 해럴슨,3100113
342,나우 유 씨 미 2,제시 아이젠버그,3100113
343,캐리비안의 해적: 죽은 자는 말이 없다,카야 스코델라리오,3049894
344,캐리비안의 해적: 죽은 자는 말이 없다,올랜도 블룸,3049894
345,스물,강하늘,3044859
346,스물,이준호,3044859
347,토르: 다크 월드,나탈리 포트만,3039889
348,거북이 달린다,정경호,3024666
349,거북이 달린다,견미리,3024666
350,헬로우 고스트,이문수,3019960
351,오싹한 연애,이민기,3009396
352,오싹한 연애,신동훈,3009396
353,레드: 더 레전드,브루스 윌리스,3004649
354,레드: 더 레전드,메리-루이스 파커,3004649
355,드래곤 길들이기 2,제이 바루첼,3000115
356,드래곤 길들이기 2,제라드 버틀러,3000115
357,방자전,조여정,2985556
358,형,도경수,2982230
359,마더,다니엘 크레이그,2979805
360,마더,김혜자,2979805
361,마더,앤 레이드,2979805
362,친구 2,유오성,2971475
363,식객,이태리,2965359
364,식객,이하나,2965359
365,식객,김강우,2965359
366,26년,임슬옹,2963652
367,26년,한혜진,2963652
368,고지전,고수,2945151
369,엑스맨: 아포칼립스,제니퍼 로렌스,2938818
370,워낭소리,이삼순,2934467
371,워낭소리,최원균,2934467
372,워낭소리,최종만,2934467
373,프리즌,김래원,2931897
374,프리즌,정웅인,2931897
375,황금 나침반,니콜 키드먼,2906958
376,극비수사,송영창,2860786
377,원티드,모건 프리먼,2858750
378,표적,이진욱,2841828
379,앤트맨,마이클 더글라스,2841795
380,앤트맨,폴 러드,2841795
381,앤트맨,에반젤린 릴리,2841795
382,호빗: 다섯 군대 전투,마틴 프리먼,2836774
383,호빗: 다섯 군대 전투,이안 맥켈런,2836774
384,호빗: 다섯 군대 전투,리차드 아미티지,2836774
385,슈렉3,마이크 마이어스,2826957
386,슈렉3,카메론 디아즈,2826957
387,메이즈 러너,딜런 오브라이언,2812427
388,메이즈 러너,윌 폴터,2812427
389,빅 히어로,스콧 애짓,2801949
390,빅 히어로,라이언 포터,2801949
391,덩케르크,마크 라이런스,2788732
392,덩케르크,케네스 브래너,2788732
393,혹성탈출: 진화의 시작,제임스 프랭코,2773794
394,혹성탈출: 진화의 시작,프리다 핀토,2773794
395,혹성탈출: 진화의 시작,브라이언 콕스,2773794
396,메이즈 러너: 스코치 트라이얼,토마스 생스터,2744413
397,가디언즈 오브 갤럭시 VOL. 2,데이브 바티스타,2735721
